id,creo,affiliate
50331,,clickdealer17
53067,,clickdealer17
40055,,clickdealer17
43830,,clickdealer17
54267,,clickdealer17
32117,,clickdealer17
53494,,clickdealer17
44240,,clickdealer17
24486,,clickdealer17
24564,,clickdealer17
48458,,clickdealer17
44913,,clickdealer17
53864,,clickdealer17
52784,,clickdealer17
54446,,clickdealer17
44668,,clickdealer17
54121,,clickdealer17
39802,,clickdealer17
54603,,clickdealer17
52932,,clickdealer17
50291,,clickdealer17
49917,,clickdealer17
48428,,clickdealer17
41197,,clickdealer17
51226,,clickdealer17
55389,,clickdealer17
27168,,clickdealer17
40986,,clickdealer17
46611,,clickdealer17
28982,,clickdealer17
51986,,clickdealer17
46339,,clickdealer17
37685,,clickdealer17
39037,,clickdealer17
53069,,clickdealer17
18301,,clickdealer17
